"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out","juv_fel_count","juv_misd_count","juv_other_count","is_violent_recid"
"158",21,"F","Caucasian","Less than 25","High","Male",0,0,8,1,1,"2013-05-10 02:20:24","2013-05-14 05:41:25",0,0,0,1
"159",28,"M","Caucasian","25 - 45","Low","Male",0,0,2,1,1,"2013-01-24 12:35:09","2013-01-27 08:05:49",0,0,0,1
"160",43,"F","Caucasian","25 - 45","Medium","Male",11,16,7,1,1,"2013-09-06 05:24:24","2013-11-22 04:21:07",0,0,0,1
"161",24,"F","African-American","Less than 25","High","Male",8,-1,9,1,1,"2013-05-15 06:50:18","2013-05-16 04:10:04",0,2,1,1
"162",45,"F","African-American","Greater than 45","Medium","Male",8,-1,7,1,1,"2013-05-03 07:04:28","2013-05-04 01:16:42",0,0,0,1
"163",32,"F","African-American","25 - 45","Medium","Male",1,-1,5,1,1,"2013-11-06 10:29:11","2013-11-26 06:16:00",0,0,0,1
"164",21,"F","African-American","Less than 25","Medium","Male",1,-1,5,1,1,"2013-10-30 04:56:29","2013-11-10 09:03:31",0,0,0,1
"165",32,"F","African-American","25 - 45","Medium","Male",24,-1,7,1,1,"2014-11-14 10:48:40","2014-11-17 08:11:13",1,3,0,1
"166",19,"M","Caucasian","Less than 25","Medium","Male",0,-1,6,1,1,"2014-07-03 09:58:44","2014-07-06 04:26:19",0,0,0,1
"167",30,"F","African-American","25 - 45","Medium","Male",1,-1,6,1,1,"2013-02-07 03:51:09","2013-02-08 02:09:27",0,0,0,1
"168",21,"F","Caucasian","Less than 25","High","Male",0,-2,9,1,1,"2013-07-27 11:47:49","2013-07-28 05:43:39",0,0,0,1
"169",31,"F","Caucasian","25 - 45","Medium","Male",1,-1,7,1,1,"2014-11-13 05:26:22","2014-12-16 04:07:30",0,0,0,1
"170",51,"F","African-American","Greater than 45","Low","Male",0,0,2,1,1,"2013-05-08 02:42:29","2013-05-09 09:51:05",0,0,0,1
"171",26,"F","Caucasian","25 - 45","Medium","Male",7,-1,6,1,1,"2013-03-18 07:27:49","2013-04-05 08:05:25",0,0,0,1
"172",33,"F","Caucasian","25 - 45","High","Male",7,-1,8,1,1,"2014-07-26 03:22:27","2014-07-27 08:26:01",0,0,0,1
"173",19,"F","Hispanic","Less than 25","High","Male",1,-12,9,1,0,"2013-09-11 07:10:26","2013-09-16 06:40:29",1,0,0,1
"174",27,"F","African-American","25 - 45","High","Male",0,-1,8,1,1,"2013-11-12 08:49:59","2014-01-12 07:13:33",0,0,0,1
"175",30,"F","African-American","25 - 45","High","Male",5,-1,9,1,1,"2013-05-01 01:32:49","2013-05-03 03:49:21",1,0,0,1
"176",23,"F","African-American","Less than 25","Low","Male",1,-1,2,1,0,"2013-01-17 01:19:27","2013-01-19 09:27:19",0,1,1,1
"177",32,"F","Caucasian","25 - 45","Low","Male",2,-27,4,1,1,"2014-06-05 11:53:48","2014-06-06 02:23:00",0,0,0,1
"178",34,"F","African-American","25 - 45","Low","Male",3,-1,1,1,1,"2013-02-06 12:54:19","2013-03-12 09:26:08",0,0,1,1
"179",25,"F","Other","25 - 45","High","Male",24,-1,10,1,1,"2014-08-18 10:49:05","2014-08-19 07:37:38",20,0,0,1
"180",29,"F","African-American","25 - 45","High","Male",13,0,10,1,1,"2014-12-08 12:41:35","2014-12-10 05:10:10",0,1,0,1
"181",26,"F","African-American","25 - 45","High","Male",9,-1,8,1,1,"2014-03-05 09:51:09","2014-03-08 01:29:05",0,0,0,1
"182",44,"M","African-American","25 - 45","High","Male",19,-17,9,1,1,"2014-08-03 01:39:31","2014-08-20 11:15:38",2,0,0,1
"183",24,"F","Hispanic","Less than 25","High","Male",11,-15,10,1,1,"2013-03-12 11:19:44","2013-03-13 01:53:48",0,0,0,1
"184",22,"M","African-American","Less than 25","Medium","Female",0,0,7,1,1,"2014-10-29 01:41:40","2014-10-29 07:55:17",0,0,0,1
"185",22,"F","African-American","Less than 25","Low","Male",0,-1,3,1,1,"2013-04-11 05:01:46","2013-06-21 05:27:12",0,0,0,1
"186",23,"M","Caucasian","Less than 25","High","Male",0,0,8,1,1,"2013-12-15 05:17:34","2013-12-18 06:00:00",0,0,0,1
"187",35,"F","African-American","25 - 45","Low","Male",7,-23,4,1,1,"2013-09-09 02:47:53","2013-09-09 07:07:40",0,0,0,1
"188",22,"F","African-American","Less than 25","Low","Male",2,-1,4,1,1,"2013-08-20 11:12:08","2013-08-22 07:39:05",0,0,0,1
"189",24,"M","African-American","Less than 25","Medium","Male",2,-1,7,1,1,"2013-01-14 11:05:52","2013-01-26 12:04:24",0,0,0,1
"190",21,"M","Hispanic","Less than 25","Medium","Male",1,-1,5,1,1,"2013-02-15 11:10:37","2013-02-16 01:18:11",0,0,0,1
"191",59,"M","Caucasian","Greater than 45","Low","Male",3,0,1,1,1,"2014-05-01 04:27:00","2014-05-02 11:39:39",0,0,0,1
"192",57,"F","African-American","Greater than 45","Medium","Male",8,-1,5,1,1,"2013-07-31 05:54:37","2013-11-08 03:35:51",0,0,0,1
"193",38,"M","Caucasian","25 - 45","Low","Male",0,-1,3,1,1,"2013-01-27 09:20:52","2013-01-30 05:11:21",0,0,0,1
"194",21,"M","Caucasian","Less than 25","Low","Male",0,-1,4,1,1,"2014-06-13 03:47:26","2014-06-14 01:59:39",0,0,1,1
"195",24,"M","African-American","Less than 25","Low","Male",1,-1,4,1,1,"2014-01-30 11:29:50","2014-01-31 08:13:34",0,0,0,1
"196",48,"M","Caucasian","Greater than 45","High","Male",2,-1,8,1,0,"2013-02-23 02:23:02","2013-02-27 08:21:29",0,0,0,1
